# 4E Studio Scene Diagnose,
# Generated,2026-04-18T22:41:43.518Z
# Studio version,3.14.6
# Renderer autoClear,true
# Renderer sortObjects,true
# Renderer shadowMap,true
# Renderer outputColorSpace,srgb
# Camera position,0 1.5000000000000002 3
,
# Project id,mo4o7fjnvyab7e
# Project name,SPATIAL1
# Tracking mode,image
# Image targets,4
# Objects,4
# Journeys,1
,
# Spatial tab active,true
# Spatial iframe,loaded
# Spatial handshake,ready
# Spatial iframe src,https://ar-studio-4e.web.app/spatial/spatial-v7.html
# Spatial iframe clientW,1056
# Spatial iframe clientH,439
# Spatial iframe rect,1056x439
# Spatial canvas attr,662x437
# Spatial canvas style,100% x 100%
# Spatial iframeWin inner,1056x439
# Studio fullscreen,false
# Viewport container rect,1056x439
,
index,name,type,objId,visible,renderOrder,frustumCulled,castShadow,receiveShadow,posX,posY,posZ,scaleX,scaleY,scaleZ,matType,colorWrite,depthWrite,depthTest,transparent,opacity,side
44,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
45,E,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
46,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
47,X,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
48,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
49,Y,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
50,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
51,Z,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
52,XY,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
53,YZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
54,XZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
55,XYZ,Mesh,,true,Infinity,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,false,false,true,0.15,Front
56,START,Mesh,,false,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,LineBasicMaterial,true,false,false,true,0.5,Front
57,END,Mesh,,false,Infinity,true,false,false,0.000,0.000,0.000,0.743,0.743,0.743,LineBasicMaterial,true,false,false,true,0.5,Front
58,(unnamed),TransformControlsPlane,,true,0,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,true,true,true,0.1,Double
59,(unnamed),Mesh,,true,0,true,false,false,-3.000,0.001,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,true,true,true,0.7,Double
60,(unnamed),Mesh,,true,0,true,false,false,-1.000,0.001,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,true,true,true,0.7,Double
61,(unnamed),Mesh,,true,0,true,false,false,1.000,0.001,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,true,true,true,0.7,Double
62,(unnamed),Mesh,,true,0,true,false,false,3.000,0.001,0.000,1.000,1.000,1.000,MeshBasicMaterial,true,true,true,true,0.7,Double
63,(unnamed),Mesh,mo4o6bekwnx08g,true,0,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,true,0.4,Front
64,(unnamed),Mesh,mo4o6bemckghjb,true,0,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,true,0.4,Front
65,(unnamed),Mesh,mo4o6benczsps0,true,0,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,true,0.4,Front
66,(unnamed),Mesh,mo4o6bensd6b81,true,0,true,false,false,0.000,0.000,0.000,1.000,1.000,1.000,MeshStandardMaterial,true,true,true,true,0.4,Front
